# {'pix_x': 128, 'pix_y': 128, 'pix_size': 190.0002850004275, 'r_peak': 3, 'r_bg1': 4, 'r_bg2': 6, 'min_dist': 6, 'binning': 1}
id,x [nm],y [nm],sigma [nm],intensity [photon],center_pix,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
1,1323.97331,10382.87677,137.91881,1390.67689,6918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6661,6662,6663,6664,0,0,0,0,0,0,0,0,6788,6789,6790,6791,6792,6793,0,0,0,0,0,0,0,6916,6917,6918,6919,6920,6921,0,0,0,0,0,0,0,7044,7045,7046,7047,7048,7049,0,0,0,0,0,0,0,0,7173,7174,7175,7176,0,0,0,0,0,0,0,0,0,0,7302,7303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2973.21481,7682.14994,138.17243,694.57592,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4751,0,0,0,0,0,0,0,0,0,0,4877,4878,4879,4880,4881,0,0,0,0,0,0,0,0,5005,5006,5007,5008,5009,0,0,0,0,0,0,0,0,5133,5134,5135,5136,5137,5138,0,0,0,0,0,0,0,5261,5262,5263,5264,5265,0,0,0,0,0,0,0,0,5389,5390,5391,5392,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3123.68611,17095.399390000002,138.20926,1257.29196,11408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11151,11152,11153,0,0,0,0,0,0,0,0,0,11278,11279,11280,11281,11282,0,0,0,0,0,0,0,11405,11406,11407,11408,11409,11410,0,0,0,0,0,0,0,11533,11534,11535,11536,11537,11538,0,0,0,0,0,0,0,0,11662,11663,11664,11665,11666,0,0,0,0,0,0,0,0,0,11791,11792,11793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3074.09828,22629.48721,134.92371,1555.16189,15248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14863,14864,14865,0,0,0,0,0,0,0,0,0,14990,14991,14992,14993,14994,0,0,0,0,0,0,0,15117,15118,15119,15120,15121,15122,0,0,0,0,0,0,0,15245,15246,15247,15248,15249,15250,0,0,0,0,0,0,0,0,15374,15375,15376,15377,15378,0,0,0,0,0,0,0,0,15502,15503,15504,15505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4014.61271,10108.24932,134.1989,1186.5715699999996,6805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6420,6421,0,0,0,0,0,0,0,0,0,0,6547,6548,6549,6550,6551,0,0,0,0,0,0,0,6674,6675,6676,6677,6678,6679,0,0,0,0,0,0,0,6802,6803,6804,6805,6806,6807,0,0,0,0,0,0,0,6930,6931,6932,6933,6934,6935,0,0,0,0,0,0,0,0,7059,7060,7061,7062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5736.30663,20352.34091,136.6263,1599.59023,13726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13341,13342,13343,0,0,0,0,0,0,0,0,0,13468,13469,13470,13471,13472,0,0,0,0,0,0,0,13595,13596,13597,13598,13599,13600,0,0,0,0,0,0,0,13723,13724,13725,13726,13727,13728,0,0,0,0,0,0,0,0,13852,13853,13854,13855,13856,0,0,0,0,0,0,0,0,13980,13981,13982,13983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6761.764340000002,2872.1628600000013,135.38266000000002,2012.97064,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,1571,1572,0,0,0,0,0,0,0,0,0,1697,1698,1699,1700,1701,0,0,0,0,0,0,0,0,1825,1826,1827,1828,1829,1830,0,0,0,0,0,0,0,1953,1954,1955,1956,1957,1958,0,0,0,0,0,0,0,2081,2082,2083,2084,2085,0,0,0,0,0,0,0,0,0,2210,2211,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8899.2271,10143.28871,136.33773,1814.56561,6830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6446,6447,0,0,0,0,0,0,0,0,0,0,6573,6574,6575,6576,0,0,0,0,0,0,0,0,6700,6701,6702,6703,6704,6705,0,0,0,0,0,0,0,6828,6829,6830,6831,6832,6833,0,0,0,0,0,0,0,6956,6957,6958,6959,6960,6961,0,0,0,0,0,0,0,0,7085,7086,7087,7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8892.58007,13368.60707,139.60391,3044.36777,9006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8622,8623,0,0,0,0,0,0,0,0,0,8748,8749,8750,8751,8752,0,0,0,0,0,0,0,0,8876,8877,8878,8879,8880,8881,0,0,0,0,0,0,0,9004,9005,9006,9007,9008,9009,0,0,0,0,0,0,0,9132,9133,9134,9135,9136,9137,0,0,0,0,0,0,0,0,9261,9262,9263,9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13809.45294,20317.76828,138.21528999999998,2234.53328,13640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13383,13384,13385,0,0,0,0,0,0,0,0,0,13510,13511,13512,13513,13514,0,0,0,0,0,0,0,0,13638,13639,13640,13641,13642,13643,0,0,0,0,0,0,0,13766,13767,13768,13769,13770,13771,0,0,0,0,0,0,0,13894,13895,13896,13897,13898,0,0,0,0,0,0,0,0,0,14023,14024,14025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
